iter	RMSE
213	0.2018096689
214	0.2017220584
215	0.2016806897
216	0.201256084
217	0.2012469807
218	0.2011761277
219	0.2011188527
220	0.2006361863
221	0.2005448197
222	0.2002894715
223	0.2002784284
224	0.200080477
225	0.1999398567
226	0.1998526772
227	0.1997662816
228	0.1997028546
229	0.199249752
230	0.1992006724
231	0.1983770884
232	0.1980607045
233	0.1979304659
234	0.1978906374
235	0.1975448159
236	0.1974897842
237	0.1971849698
238	0.1971040112
239	0.1969063892
240	0.1966147504
241	0.196596635
242	0.1964180132
243	0.196334455
244	0.1962168924
245	0.1960538311
246	0.1959974826
247	0.1955028146
248	0.1954431525
249	0.1954126078
250	0.1949105546
251	0.1948486047
252	0.1941248063
253	0.1941136934
254	0.194010487
255	0.1937271076
256	0.1933982789
257	0.1927263418
258	0.1926498285
259	0.1923876657
260	0.1920636618
261	0.1914488298
262	0.1909667226
263	0.1905376338
264	0.1902793662
265	0.1902412769
266	0.1900129675
267	0.1893386909
268	0.1889159312
269	0.1888059698
270	0.188418142
271	0.1878313027
272	0.1878201465
273	0.1874976193
274	0.1870135377
275	0.1869591308
276	0.186953135
277	0.1866334022
278	0.1866186817
279	0.1860886222
280	0.1860723561
281	0.1857432197
282	0.1856859786
283	0.185606689
284	0.1855987707
285	0.1851658951
286	0.1849278986
287	0.1847038897
288	0.1844669612
289	0.1844477924
290	0.1841486232
291	0.1839181767
292	0.1839105147
293	0.1835050156
294	0.1834561333
295	0.1832546793
296	0.1831903157
297	0.1829206498
298	0.1823477082
299	0.1818910951
300	0.1817264436
301	0.1815972063
302	0.1815940224
303	0.1815557026
304	0.181502104
305	0.1813901238
306	0.1813433601
307	0.1813234046
308	0.1812778962
309	0.1811226678
310	0.180723281
311	0.1805196768
312	0.180510532
313	0.1799507743
314	0.1795485284
315	0.1795422421
316	0.1792209007
317	0.1791701097
318	0.179164171
319	0.1790445291
320	0.1790388208
321	0.1790322044
322	0.1789737615
323	0.1787439801
324	0.1787384454
325	0.1787203998
326	0.1787077979
327	0.1786801706
328	0.17862942
329	0.1782041794
330	0.1781963913
331	0.1777961951
332	0.1777906929
333	0.177776383
334	0.1777167814
335	0.1773392059
336	0.1773127615
337	0.1772349691
338	0.1767603233
339	0.176542195
340	0.1765204473
341	0.1765152592
342	0.1763263363
343	0.1763206652
344	0.1763157973
345	0.176266065
346	0.1757641922
347	0.1757248155
348	0.1752395084
349	0.1752345612
350	0.1748064428
351	0.1747585699
352	0.1743873544
353	0.1741838723
354	0.1741127807
355	0.1740710174
356	0.1738082118
357	0.1736046281
358	0.1735067666
359	0.173268818
360	0.1732634851
361	0.1729020487
362	0.1728801776
363	0.1728403938
364	0.1727314778
365	0.1726855315
366	0.1724620942
367	0.1719772835
368	0.171582377
369	0.1715765918
370	0.1714081041
371	0.1713670083
372	0.1711188309
373	0.1711134417
374	0.1710983075
375	0.1710738897
376	0.1709079697
377	0.1707241005
378	0.170618108
379	0.1702050435
380	0.1697113381
381	0.1694482501
382	0.1691086369
383	0.168722573
384	0.168640042
385	0.1686347006
386	0.1686104528
387	0.1684436552
388	0.168081577
389	0.1680360776
390	0.1676064845
391	0.1674563833
392	0.1674343547
393	0.1673753537
394	0.1673545814
395	0.1671589724
396	0.1671141671
397	0.1668051628
398	0.1666352182
399	0.1665343453
400	0.1663942286
401	0.1663715186
402	0.1662733373
403	0.1660791231
404	0.1659324195
405	0.1657721433
406	0.1656310382
407	0.1654822348
408	0.1654772653
409	0.1654473409
410	0.1652848651
411	0.1652758081
412	0.1648725656
413	0.1648203759
414	0.1648163012
415	0.1647955268
416	0.1647476338
417	0.1647431892
418	0.1647143119
419	0.1644365666
420	0.1642639506
421	0.1642419283
422	0.1639382768
423	0.1639341944
424	0.1639179976
425	0.1638403531
426	0.1638079954
427	0.1637694431
428	0.1636679914
429	0.1633488367
430	0.1627113417
431	0.1626822997
432	0.1623899756
433	0.1623586946
434	0.1623511262
435	0.1623288343
436	0.162112229
437	0.1621081956
438	0.161985246
439	0.1618496635
440	0.1617222908
441	0.1617184785
442	0.1616654666
443	0.1613686347
444	0.1612074226
445	0.1611478424
446	0.1609669276
447	0.1609297623
448	0.1607981039
449	0.160743961
450	0.1606644692
451	0.1606293486
452	0.1606042614
453	0.1604059996
454	0.160278823
455	0.1600085804
456	0.1598561922
457	0.1596587228
458	0.1592563625
459	0.1589599278
460	0.1588150135
461	0.158686606
462	0.1585575003
463	0.1583549969
464	0.1582279647
465	0.158191121
466	0.1578547881
467	0.1577042061
468	0.1576690919
469	0.1575660265
470	0.1574910232
471	0.1574836586
472	0.1573915049
473	0.1571139873
474	0.1567574667
475	0.1566409899
476	0.1566337026
477	0.1566299021
478	0.1562667214
479	0.1558714966
480	0.1555633901
481	0.1554396128
482	0.1550958636
483	0.1550140454
484	0.1550096992
485	0.1550039677
486	0.1546761774
487	0.1544353275
488	0.1543004463
489	0.154287479
490	0.1540693933
491	0.1538317735
492	0.1535642182
493	0.153560103
494	0.1532827741
495	0.1529920242
496	0.1528050346
497	0.1526619341
498	0.1525610385
499	0.1523188864
500	0.1521567285
501	0.1520858582
502	0.1520826048
503	0.1519840773
504	0.1519500744
505	0.1517680069
506	0.1515840962
507	0.1513512329
508	0.1512327165
509	0.1510970521
510	0.1510224428
511	0.151006061
512	0.1507614621
513	0.1505156015
514	0.1505008357
515	0.1504866251
516	0.1503578519
517	0.1503297343
518	0.1503220063
519	0.1502961951
520	0.1501744464
521	0.1501705118
522	0.1501414979
523	0.1501043398
524	0.1500927221
525	0.1498622795
526	0.1497624188
527	0.1497435693
528	0.1497299903
529	0.1497255429
530	0.1497221651
531	0.1494501462
532	0.1494291257
533	0.1492230834
534	0.1490189962
535	0.1487988933
536	0.1486522328
537	0.1486394005
538	0.1486254771
539	0.1484878927
540	0.1483477292
541	0.1482453411
542	0.14814155
543	0.1481084425
544	0.1478922168
545	0.1475384158
546	0.1475348428
547	0.1474185903
548	0.1474150049
549	0.1469948562
550	0.1469528499
551	0.1469387596
552	0.1466076289
553	0.1464984158
554	0.146491977
555	0.1461773489
556	0.1460389881
557	0.1460355223
558	0.1460221427
559	0.1459408601
560	0.1459334725
561	0.1457954284
562	0.1455716295
563	0.145569026
564	0.14545796
565	0.1453762418
566	0.1452712772
567	0.1451323097
568	0.1451206956
569	0.1450911832
570	0.1450117289
571	0.1446647607
572	0.1446593365
573	0.1446267053
574	0.1444553987
575	0.1444516823
576	0.1442485021
577	0.1440326961
578	0.1439232549
579	0.1438916048
580	0.1437034158
581	0.1435282257
582	0.1435182097
583	0.1435153612
584	0.1432746473
585	0.1432263236
586	0.1432066558
587	0.1431235088
588	0.1431071906
589	0.1429639131
590	0.1426793945
591	0.142676033
592	0.1426728824
593	0.1426166541
594	0.1423296212
595	0.1422294205
596	0.1420031681
597	0.1419350464
598	0.1418115401
599	0.1416788246
600	0.1415738893
601	0.1415638311
602	0.1415512502
603	0.1414266377
604	0.1414098878
605	0.1413855266
606	0.1412605515
607	0.1411743011
608	0.141099276
609	0.1409726579
610	0.140954576
611	0.1408170924
612	0.1406958713
613	0.1406210411
614	0.1406139215
615	0.1406115816
616	0.1405356374
617	0.1405324551
618	0.1405293586
619	0.1404962295
620	0.1404477273
621	0.14029861
622	0.1402956786
623	0.1401768959
624	0.1399816607
625	0.1399560343
626	0.1399356545
627	0.1398253078
628	0.1396712817
629	0.1395535287
630	0.1394395121
631	0.1393658619
632	0.1392801961
633	0.1392147481
634	0.1391926905
635	0.1391663861
636	0.1391460817
637	0.1389699894
638	0.1389371715
639	0.1388969177
640	0.1387817294
641	0.1387601745
642	0.1386227948
643	0.138537159
644	0.1384597507
645	0.1382769919
646	0.138080221
647	0.1379599926
648	0.1378833172
649	0.1377419681
650	0.1376379381
651	0.1374582484
652	0.1374526902
653	0.1373903132
654	0.1373605366
655	0.1373447712
656	0.1372681954
657	0.1372472465
658	0.1372007623
659	0.1371721781
660	0.137114971
661	0.1370242664
662	0.136983123
663	0.1369557934
664	0.1368554987
665	0.136773611
666	0.1367590458
667	0.1365795896
668	0.1365494271
669	0.1365005188
670	0.1363265944
671	0.1363111824
672	0.1360153382
673	0.1359938983
674	0.1359680421
675	0.1358171457
676	0.1357331823
677	0.1356409719
678	0.1355398008
679	0.1354808451
680	0.1354720843
681	0.1352295654
682	0.1352254307
683	0.1352049724
684	0.1351691779
685	0.1351296172
686	0.1350267433
687	0.1350081981
688	0.1349476345
689	0.1349444046
690	0.1349308143
691	0.1348474135
692	0.1347798687
693	0.1346538577
694	0.1345310629
695	0.1345017575
696	0.1344801876
697	0.1344779176
698	0.1344291904
699	0.1343598721
